epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time_s
1,1.955297744140625,0.29754,1.7252477878570556,0.4292,0.020000000000000004,16.271967887878418
2,1.5801802404785157,0.50366,1.6826239322662353,0.5012,0.04000000000000001,15.789874792098999
3,1.319203606452942,0.63936,1.2183449214935302,0.6855,0.06,15.936207056045532
4,1.143280104598999,0.71992,1.175319224357605,0.7015,0.08000000000000002,15.885381937026978
5,1.0654113765335083,0.75438,1.078240821838379,0.7445,0.1,15.913986444473267
6,1.019285917224884,0.7757,0.9874807483673096,0.7865,0.09999194339645291,15.968777179718018
7,0.987221791152954,0.7893,1.0444535274505615,0.7587,0.09996777618216607,15.983368396759033
8,0.9640912013244629,0.7986,1.1051276639938354,0.7429,0.09992750614536605,16.020444869995117
9,0.9552369019126892,0.80248,1.0099813591003417,0.7805,0.09987114626364171,16.002897262573242
10,0.9417337631225586,0.80994,0.9701744995117187,0.7932,0.09979871469976197,16.017301082611084
11,0.9372253127098084,0.81114,0.9859826674461365,0.7902,0.09971023479582258,16.029439210891724
12,0.9375951342010498,0.80942,1.0060495677947998,0.779,0.0996057350657239,16.008105754852295
13,0.9327315186691284,0.81304,1.0320686086654662,0.7666,0.09948524918598174,16.011353492736816
14,0.9337110791015625,0.81258,0.9905623851776123,0.7839,0.09934881598487479,16.032541036605835
15,0.9277502569961548,0.81344,1.0197751010894776,0.7774,0.09919647942993148,16.01419949531555
16,0.9376379006195068,0.8116,1.117478643989563,0.7294,0.099028288613761,16.03682017326355
17,0.9314942036247253,0.81256,1.035039765548706,0.769,0.09884429773823239,16.020874500274658
18,0.9348588775634765,0.8118,1.0076983806610107,0.7773,0.09864456609700725,16.02455997467041
19,0.9341026113510131,0.81194,1.073563739967346,0.7485,0.09842915805643156,16.008084535598755
20,0.9295389172363281,0.81296,0.9413677406311035,0.8094,0.09819814303479267,16.044984102249146
21,0.9268706825828552,0.81466,0.980259878540039,0.7896,0.09795159547994829,16.023353815078735
22,0.9264133127593994,0.81462,1.056922200202942,0.7646,0.09768959484533461,16.033447742462158
23,0.9267557455444336,0.81534,0.9723373554229736,0.7963,0.09741222556436131,16.01235580444336
24,0.9264295315933228,0.81466,1.060673399925232,0.7558,0.09711957702320174,16.006077527999878
25,0.9245846068572998,0.8168,0.9627395698547363,0.7955,0.09681174353198686,16.012414932250977
26,0.9249389001464844,0.81538,0.9772891498565673,0.7915,0.09648882429441258,16.00698685646057
27,0.9257829723548889,0.81494,1.0142839277267457,0.7774,0.09615092337576987,16.014108419418335
28,0.9297941411781311,0.81252,0.9717273918151855,0.7944,0.09579814966940833,15.976537942886353
29,0.9217865404510498,0.81672,1.0498013217926025,0.7551,0.09543061686164372,16.008267402648926
30,0.9180004851913453,0.81856,1.0403576538085937,0.7679,0.09504844339512096,15.976385593414307
31,0.9222246594238281,0.81748,1.157832027244568,0.7134,0.09465175243064428,15.976807594299316
